block,cex_price,dex_price,band_low,band_high,source_output_data
3091,1969.1916321016827,1972.8913316996138,1968.797833155157,1969.5855098158745,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3092,1969.1223825316306,1966.5896258855837,1968.7285974336341,1969.5162463945233,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3093,1969.9773606896836,1968.7285974336341,1969.5834046131533,1970.3713955653088,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3094,1969.9559078556688,1969.1995245626715,1969.5619560692764,1970.3499384402983,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3095,1970.0778675325469,1948.4625403197083,1969.683891356658,1970.4719225115512,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3096,1969.8348685103103,1969.6838913566583,1969.4409409293664,1970.2288748846497,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3097,1969.1310853527348,1969.6838913566583,1968.7372985143481,1969.5249509563655,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3098,1969.2466107789814,1968.8647674553904,1968.8528008378198,1969.6404994900083,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3099,1969.5947574049108,1963.71467453081,1969.2008778413863,1969.9887157522264,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3100,1969.6756571416668,1971.039817627369,1969.2817613998127,1970.069631670548,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3101,1969.5971056409433,1970.0696316705482,1969.2032256078185,1969.991064457953,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3102,1969.0561179163255,1970.7201943111165,1968.662346069927,1969.4499685249696,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3103,1968.5007587451723,1975.3702940784488,1968.107097959502,1968.8944982708738,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3104,1968.2465784880058,1968.8944982708736,1967.8529685333037,1968.6402671725718,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3105,1968.4688336437891,1968.6402671725718,1968.0751792425006,1968.8625667838319,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3106,1966.385592428352,1972.9535286557937,1965.992354633646,1966.7789088784825,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3107,1967.5511101103984,1964.3355967098266,1967.1576392354639,1967.9446596873781,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3108,1967.1427525469617,1967.1576392354636,1966.7493633353736,1967.5362204442606,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3109,1967.1700557314869,1966.393908406376,1966.7766610598078,1967.563529089969,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3110,1966.1545291855177,1967.0779850719823,1965.7613375988394,1966.547799418378,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3111,1964.9568871475285,1965.9919297938318,1964.5639350653073,1965.349917828026,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3112,1965.349676454754,1965.349917828026,1964.9566458225263,1965.7427857009695,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3113,1964.8348069141612,1965.349917828026,1964.4418792455454,1965.22781317617,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3114,1965.2402979970066,1949.3427813314813,1964.8472892382829,1965.6333853653427,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3115,1965.4641292272418,1964.8472892382829,1965.0710757067484,1965.8572613663011,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3116,1966.0198853982693,1962.7866853400908,1965.6267207376557,1966.4131286996792,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3117,1965.1794195860098,1965.626720737656,1964.786423001751,1965.572494777446,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3118,1965.0126798849644,1965.572494777446,1964.6197166453114,1965.4057217251254,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3119,1962.6649915694818,1965.4057217251254,1962.2724978205429,1963.0575638250214,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3120,1962.983188531763,1960.5079917979492,1962.590631149795,1963.3758244330595,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3121,1963.5209591950488,1963.7823852491968,1963.1282942697023,1963.9137026612345,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3122,1963.8502046672143,1953.4075832991198,1963.4574738993576,1964.2430139890798,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3123,1963.1216096742535,1963.4574738993576,1962.729024610825,1963.514273262547,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3124,1963.5399688588443,1961.3290732358016,1963.1473001319453,1963.932716127343,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3125,1966.7740649587226,1963.4478929340764,1966.380749477279,1967.1674591111296,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3126,1966.9986439551226,1966.380749477279,1966.605283562371,1967.3920830278207,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3127,1969.525821512846,1966.6052835623707,1969.1319557351214,1969.9197660716045,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3128,1970.451247479489,1969.1319557351214,1970.0571966350774,1970.845377141951,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
